EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-107.682,-0.109,-5.449,-7.188,-32.614,121.358,-33.867,-9.514,0.029,0.991,-0.069,9.003,-7.599,0.671,100.000,17856.000,1.000
-112.219,-1.162,-6.780,-7.301,-32.501,118.110,-32.860,-6.990,0.038,0.991,-0.070,9.369,-6.866,1.190,100.000,17857.000,1.000
-105.966,-2.035,-6.383,-7.825,-29.996,108.922,-29.181,-1.234,0.042,0.993,-0.069,9.552,-6.134,1.709,100.000,17858.000,1.000
-95.279,-3.496,-5.344,-8.927,-26.537,92.410,-24.389,4.166,0.045,0.991,-0.070,9.705,-5.310,2.258,100.000,17859.000,1.000
-83.298,-4.690,-3.564,-9.726,-21.895,71.459,-18.380,8.309,0.047,0.988,-0.070,9.857,-4.700,2.716,100.000,17860.000,1.000
-70.732,-4.796,-1.007,-9.540,-16.017,51.471,-11.030,11.200,0.051,0.989,-0.073,10.101,-3.845,3.235,100.000,17861.000,1.000
-61.471,-4.678,0.861,-8.923,-11.075,35.935,-4.531,10.457,0.052,0.989,-0.076,10.071,-3.052,3.693,100.000,17862.000,1.000
-60.669,-5.971,0.094,-9.038,-9.824,24.971,-2.295,3.110,0.055,0.988,-0.077,10.071,-2.411,4.150,100.000,17863.000,1.000
-67.755,-8.981,-3.548,-10.277,-12.520,17.588,-5.586,-10.203,0.057,0.985,-0.078,10.132,-1.678,4.486,100.000,17864.000,1.000
-76.228,-12.306,-8.247,-11.793,-16.731,13.462,-12.239,-25.161,0.059,0.985,-0.079,10.193,-0.854,4.822,100.000,17865.000,1.000
-80.693,-14.309,-11.817,-12.290,-19.821,12.270,-18.681,-37.333,0.057,0.986,-0.082,10.437,-0.031,5.035,100.000,17866.000,1.000
-80.704,-14.333,-13.214,-11.082,-20.654,12.551,-22.454,-44.396,0.060,0.990,-0.081,10.406,0.549,5.310,100.000,17867.000,1.000
-78.046,-12.725,-12.631,-8.425,-19.371,11.942,-23.090,-45.861,0.061,0.992,-0.080,10.498,1.099,5.371,100.000,17868.000,1.000
-73.911,-10.463,-10.989,-5.201,-16.825,8.381,-21.690,-42.794,0.059,0.994,-0.082,10.315,1.648,5.463,100.000,17869.000,1.000
-69.394,-8.868,-9.626,-2.525,-14.523,0.933,-20.163,-37.995,0.055,0.999,-0.077,10.315,2.289,5.432,100.000,17870.000,1.000
-66.261,-9.233,-9.949,-1.431,-14.338,-9.936,-20.341,-34.869,0.056,1.004,-0.079,9.918,2.747,5.341,100.000,17871.000,1.000
-65.942,-12.172,-12.665,-2.405,-17.468,-22.417,-23.050,-35.172,0.053,1.006,-0.082,9.705,3.296,5.219,100.000,17872.000,1.000
-68.169,-16.938,-17.073,-4.902,-23.306,-34.118,-27.457,-37.929,0.051,1.012,-0.082,9.613,3.754,5.005,100.000,17873.000,1.000
-70.894,-21.408,-21.282,-7.480,-29.485,-43.172,-31.302,-40.612,0.048,1.015,-0.084,9.247,4.181,4.791,100.000,17874.000,1.000
-71.827,-23.217,-23.389,-8.684,-33.347,-48.695,-32.229,-41.168,0.047,1.016,-0.085,8.850,4.578,4.486,100.000,17875.000,1.000
-70.450,-21.399,-22.785,-8.034,-33.814,-50.554,-29.577,-39.295,0.046,1.019,-0.083,8.484,4.852,3.998,100.000,17876.000,1.000
-68.366,-17.152,-20.570,-6.310,-32.171,-49.186,-25.189,-36.446,0.045,1.019,-0.084,8.301,5.005,3.815,100.000,17877.000,1.000
