EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-12.896,-13.006,-13.332,-13.538,-13.430,-13.028,-13.461,-13.334,-0.006,0.985,-0.049,-0.092,-0.458,0.122,26.667,2821.000,1.000
-16.181,-16.293,-16.637,-16.817,-16.534,-16.383,-16.563,-16.455,-0.009,0.985,-0.044,-0.153,-0.397,0.183,26.667,2822.000,1.000
-19.947,-20.085,-20.357,-20.388,-20.276,-20.127,-20.050,-20.014,-0.008,0.986,-0.045,-0.214,-0.458,0.214,26.667,2823.000,1.000
-16.120,-16.240,-16.360,-16.274,-16.485,-16.304,-16.158,-16.060,-0.007,0.986,-0.043,-0.153,-0.549,0.183,26.667,2824.000,1.000
-11.474,-11.545,-11.552,-11.495,-11.658,-11.680,-11.701,-11.362,-0.007,0.985,-0.048,-0.122,-0.397,0.244,26.667,2825.000,1.000
-13.988,-14.085,-14.116,-14.112,-13.949,-14.182,-14.403,-13.870,-0.007,0.987,-0.046,-0.122,-0.458,0.122,26.667,2826.000,1.000
-17.544,-17.617,-17.729,-17.749,-17.470,-17.688,-17.860,-17.386,-0.007,0.988,-0.046,-0.153,-0.366,0.122,26.667,2827.000,1.000
-13.670,-13.507,-13.601,-13.761,-13.607,-13.723,-13.642,-13.426,-0.007,0.985,-0.048,-0.061,-0.458,0.153,26.667,2828.000,1.000
-7.775,-7.408,-7.339,-7.622,-7.646,-7.678,-7.499,-7.475,-0.007,0.985,-0.048,-0.092,-0.397,0.214,26.667,2829.000,1.000
-9.727,-9.506,-9.224,-9.368,-9.585,-9.546,-9.534,-9.423,-0.009,0.985,-0.046,-0.092,-0.458,0.153,26.667,2830.000,1.000
-15.905,-16.003,-15.558,-15.556,-15.811,-15.838,-15.955,-15.608,-0.009,0.987,-0.047,-0.153,-0.397,0.092,26.667,2831.000,1.000
-15.253,-15.444,-14.884,-15.057,-15.081,-15.303,-15.288,-14.957,-0.008,0.987,-0.046,-0.183,-0.488,0.214,26.667,2832.000,1.000
-8.915,-8.938,-8.363,-8.809,-8.608,-8.920,-8.633,-8.701,-0.010,0.989,-0.046,-0.092,-0.488,0.275,26.667,2833.000,1.000
